clean_tweet,Ofensivo,Vulgar
"pinche  otra vez se me paso de chorizo 

apenas ayer marque para aclarar lo de una bonificacion que no me hicieron y hoy amanezco con que me eliminaron los puntos 

si acaso eran como 200 pero no mamen no me los quiten nomas por nomas",0,1
un beso al chacal guapo que me salvo de la mordida de un perro  neta que pinche conexion tuvimos  te amo donde quiera que estes,0,1
si pinche vieja,0,1
bien por osorio chong amlito moreno a chingar a su reputisima madre pinche naco de mierda traidor,1,1
plural y entonces para que le sirvieron el chingo de votos a morena pinche conviccion boba de la democracia como te lo he dicho siempre desde la primera vez en fresnillo eres hipocrita y hocicon,1,1
chinga a tu madre pinche envidioso das lastima infeliz,1,1
pinche coraje,0,1
casi 2 millones de dolares y el bano esta cerca de la cama no mames pinche cuarto hediondo a culo,1,1
"wey no es normal mi pinche dolor de espalda
el fin de semana no podia pararme",0,1
chasm pinche sapo metiche y magnicida,1,1
"me siento insegura
me siento insegura y eso lo provoca el cuando la ex de mi vato sube una foto siempre siempre wey siempre esta su me encanta en la foto de la p1nch3 vieja y cuando yo subo una foto ni su pinche like",1,1
pinche astrologia por fin tuvo razon en algo soi acuario,0,1
pinche dia culero,1,1
"el miedo lleva a la ira la ira lleva al odio el odio lleva al sufrimiento

cuanta pinche razon tiene esta frase de sw",0,1
master sabemos que cuando vuelvas sera puro pinche,0,1
jajajaja estan que se les pudre el higado del pinche coraje que hacen y de como poco a poco se esta tirando a la oposicion a la basura jajaja,0,1
pinche lluvia en new york hoy hubiera visto pitchear a billy,0,1
y ese wey que hace dando un comunicado en el senado que se vaya a su pinche oficina ah pero como esta con sus weyes a un lado se siente mejor,0,1
sigo sin encontrar a mi dory y la verdad es que estoy bien pinche triste,0,1
uuuuu las retas aunque luego como me desespera pinche monito no salta como uno quiere y a empezar oootra vez jajajaja,0,1
es neta  anunciando un pinche esquema ponzi en su servicio de conexion,0,1
pinche toxico,0,1
pinche vieja,0,1
como no voy a estar bien pinche loca si de pequena acompanaba a mi mama a espiar a mi papa,0,1
tambien son seres humanos y tienen derecho a divertirse por lo que en que chingados les afecta pinche gente calumniosa mejor cuiden sus mendigas vidas,1,1
me pegue entre la puerta y el palo del trapeador awebo se la hice de pedo al pinche palo,0,1
no solo en tw en las juntas de la escuela nunca falta el pinche traumado que viene a despotricar cosas que ni al caso,1,1
porque la gente en este pinche pais se disculpa por todo me cagan,0,1
ay wey pinche marica sin bolas,1,1
pinche examen me metio la que te valgo,0,1
disculpas al peo al aireuna mierda de ser,1,1
como le gusta invocar estallidos sociales en otros paises de reventar un estallido social en venezuela esta rata  pegaria un carreron dejando un gran rayon de mierda,0,1
los dos son un monton de mierda,1,1
ptm lo que es no tener ni mierda que hacer jajajajaja,0,1
mano q tan enfermos mentalmente tienen que estar para decir eso me vale mierda su religion y cultura si violan los derechos humanos de otr,1,1
que paja ese dia me bane en locion por el waro no olia a mierda,0,1
eres igual de mierda que tu novia o peor,1,1
tengo que fumar esa mierda para olvidar el pain,0,1
mierda morena eso si es mierda de netflix me gustan las series de comida como las cronicas del taco no es tan malo morena si jajaja,1,1
pero debe ser la mierda con distinto olor,0,1
dan pena directiva de mierda,1,1
por ahi hay tanta gente de oro creyendo mierda por culpa de gente que se cree oro,0,1
party es god pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd,1,1
no confundan mierda con mermelada palerito,1,1
es un 410 para mi ni a mas o menos llego su partido y de paso su actitud de mierda al ser reemplazado que comparto contigo lo hizo ver todavia peor,1,1
puedo jurar que he visto esa mierda en mis pesadillas,1,1
gente mas mierda la que dejo el covid,1,1
ufff va a pasar a la historia este personaje pero por las razones equivocadas miren que asesinar y enterrar a un partido politico que para bien o para mal fue hegemonico durante decadas solo para no pisar la carcel esta muy cabron enhorabuena un politico de mierda mas ja,1,1
descubrir que la gente es mierda tambien duele,1,1
"jajajaja gano diez veces lo que tu quiere decir que no gana ni mierda
decime lo que presumis y te dire de lo que careces",0,1
triste es ver como no le importas una mierda a nadie,1,1
ay wey q coraje con la senal y el internrt de mierda de sanfe,0,1
"en serio viene otro round de residente no puede ser 

como es posible que permitan otra mierda de esas  no tiene verguenza

diablo darell debe estar bien mordio jajajaajajajaj 

pa joder jura que es el highlight de los remix jajajajajaajjajajaaja",1,1
y eso es un chiste pendejo gastaste la unica neurona que tenes en esa mierda  minimo quedaste en estado vegetal despues de mandar ese tuit,1,1
fijense a donde van a tirar mierda de las personas pq luego a los que nos tiran nos enteramos de todo jaja,0,1
seguire recalcando que mi interes es la peor mierda que existe,0,1
donde esta el personal de transito     tlalpan y coyoacan estan hechos mierda con el trafico ponlos a trabajar   hay que dar salida en insurgentes y tlalpan periferico y tlalpan insurgentes y circuito azteca,1,1
pobre senora les apuesto que no deja de ver vtv yo no me explico como una persona mayor que vivio la cuarta pueda defender este desastre de mierda mire senora dele gracias a lorenzo ya que usted buscaba harina del gob en el 2017 o 2018 y no habia cafe no habia,0,1
bien por osorio chong amlito moreno a chingar a su reputisima madre pinche naco de mierda traidor,1,1
se me sale de las manos lo mierda que puedo ser,1,1
quien mas piensa que netflix es una mierda  para invitarle una chela,1,1
buscar renta en mazatlan es una mierda,0,1
ya pacto alito acaba de vender la poca credibilidad que tenia el pri su corrupcion lo tiene tan hundido que prefiere venderse a amlo y que el pais se vaya a la mierda,0,1
los industriales y empresarios en  son unos parasitos viven de lo que pueden sacar al estado yo evadir impuestos y mucha explotacion laboral con sueldos de mierda y malas condiciones laborales y poca inversion en personal calificado e infraestructura de primer orden,1,1
ay bueno con esto aprendi que hay que dejar a las personas con su mentalidad de mierda y que las verdaderas amigas si te defienden cuando las estas cagando tan mal y dando pena ajena,1,1
"un par de dias y nos fuimooooos de vacaciones

trabajo de mierda pero te necesito",0,1
jorge adonay que buena mierda,0,1
los comunistas son una mierda y ya te quedo claro con el rechazo,1,1
si  tuviera los huevos bien puestos estaria en mexico confrontando a   pero como solo es un bufon cobarde de mierda desde su escondite en atlanta ataca,1,1
ridiculo es andar promoviendo odio y descriminacion en 2022 y disfrazarlos de opinion para no quedar como una mierda de persona,1,1
"par de mierda me quieren joder
pero no soy facil de bajar",1,1
tira pa tu charca trinker de mierda,1,1
a que la seguridad publica actual es una mierda yo siento mas inseguridad si veo a una patrulla pasar 3 veces fuera de mi casa a andar por la calle a las 3 de la manana,1,1
que mierda tener que firmar para que duerman a la perrita que intente rescatar no puedo con mi vida ahorita,0,1
el mundo seria una mierda sin el cafe,0,1
"esa cosa de dejar notitas prediciendo que va a hacer el otro es mierda que me da risa xddd
igual ni siquiera me desgastare defendiendolo probablemente solo es una risita que el capitulo entero me quitaria si lo viera",0,1
37 minutos y solo ha ingresado 1 mierda,0,1
no porque huela a mierda se sienta un culo,1,1
esta mierda debe estar mal,0,1
no fue una jugada fue todo el partido solo le veia la espalda al pecho frio de mierda,0,1
es llegando a una tienda y a hacerlas mierda en la maquina tragamonedas hasta bajar el enojo,0,1
perdona mejor distribuida de que mierda hablas,0,1
si no es una mierda es otra,0,1
se los comento por que yo me volvi asi despues de tanta mierda y acoso del estado,0,1
tuve un dia de mierda,0,1
no queria decirlo pero vaya dia de mierda,0,1
si no quieres que tus empleados sean respondones trata de no ser mierda con tus empleados aplica para cualquier negocio,1,1
puta y en ese pueblo mierda hablan espanol siquiera pues,1,1
conmigo no te portes mierda porque te gano,1,1
tu le tirabas mierda desde el fichaje jajaja no te hagas guey,0,1
pinche pendejo neta,1,1
si eres amlover no tienes derecho usar la palabra pendejo es como escupir hacia arriba,1,1
que dlv por una de las 2 partes pero tmb me da gusto la vdd pa que me hago pendejo,0,1
yo me hago el pendejo pero yo se quienes son,0,1
me encanta sufrir a lo pendejo,0,1
usted pendejo ya esta como mi ex mostrandole nuestra conversacion a medio server,1,1
nomas a puro pendejo les gusta esos videos meados,1,1
si me enganas una vez la culpa es tuya la segunda soy pendejo,0,1
sipor que no falta el pendejo que vaya en sentido contrario,1,1
puro pendejo colecciona sticker de futbolistas,1,1
pendejo,1,1
party es god pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd,1,1
sere breve estas bien pendejo bot,1,1
puro pendejo le va a las shitbas,1,1
tenia que ser un pendejo en un jeep,1,1
luma pendejo que se ha tenido como gobernador de   si usted mismo  x,1,1
"oye escoria ya fuiste a visitar a tus hijos los narcomenudistas

muy bravucon en tuiter pero en la vida real aparte de idiota desobligado sin duda eres doble pendejo en la vida real y en la vida digital",1,1
si sos pendejo va juan pipian  o te estan pagando cuanto por cada tuit te compro 10 al precio que te dan zorra vendida,1,1
jajaajaj todo pendejo  con todo y alianza,1,1
pendejo si,0,1
"un pendejo del lastarria acaba de confirmar en chilevision que buscan un nuevo estallido social tras ls victoria del rechazo 

vayanse bien a la conchetumareeeeeeeee",1,1
estas todo pendejo con las chingaderas que ladras,1,1
el mejor remedio para la timides y el miedo a situaciones sociales es comportart lo mas pendejo posible  te ayudara a no sentir la sensacion de tension de estar siendo incomodamente silenciosa entre menos serio sos la gente te trata mejor y mas facil garantizado,0,1
jamas voy a senalar ni hablar mal de nadie eso me hace diferente   leccion aprendida ya fue mucho tiempo de como decian en el barrio la inocencia del pendejo  gracias por ser autentico y no entres a la politica nunca por favor,0,1
y eso es un chiste pendejo gastaste la unica neurona que tenes en esa mierda  minimo quedaste en estado vegetal despues de mandar ese tuit,1,1
"eso no es ser zurdito es ser un reverendo pendejo 

y ojo que hay monton de gente de ultraderecha con esa misma narrativa insisto esas pendejadas van mas alla de ideologias",1,1
no son reyes pendejo se deben a los ciudadanos que pobre educacion manejan estos arrastrados,1,1
jajajjajajajaja pendejo,1,1
aqui en torreon pendejo,1,1
pendejo yo,0,1
mi mama decia que para pendejo no se estudia,0,1
dale 3 uno por mi y el otro por pendejo,1,1
estas cuentas de fotuto lo que dan es asco como este jodio pendejo que escribio,1,1
no es solamente un pendejo,1,1
pendejo feo todavia iba a tener consideracion pero nel vtalv jajajajajaja,1,1
jajajajajajajjjkajajjjajajajajajajajajjjajajajajkjjkjqjq estoy fumando pendejo de la risa la puta mota me regano,1,1
perro pendejo,1,1
jajajaja estas bien pendejo,1,1
jajaja el bot todo pendejo,1,1
"ay siiii pendejo 
yo antes de ver que efectivamente si",1,1
tu sueldo mojito tu sueldo y la falta de transparencia no cabeza de vaca no hables a lo pendejo,1,1
quien fue el pendejo,1,1
no sabes leer o estas pendejo le dieron indicacion de que el setup no se tocaba,1,1
ebrard no solo es mas pendejo de lo que el cree es incluso mas pendejo de lo que podemos creer todos,1,1
de las birrias te falto el pendejo de villa villa aunque ese no cuenta por imbecil,1,1
lopez es tan pendejo que confundio una secretaria de estado con la secre de ventanilla que te rebota los papeles de tu tramite,1,1
pendejo pues si no conoce al tipo imbecil esta preguntando a traves de sus redes sociales para poder encontrarlo y asi poder ayudarlo de otro modo seria aun mas dificil encontrarlo mejor deja de decir mamadas y que te valga verga x40000,1,1
"seguramente tu eres el pendejo este de alguien
o si eres morra la loca esa de algun pendejo ese",1,1
"hace unos dias me andaban atacando en mi trabajo con el pendejo argumento de que como yo pido muchos permisos yo deberia prepararle cafe al jefe 
cabe destacar que la persona que me lo dijo es su asistente y que porque ella no le sabe a la cafetera",0,1
se lesiono de la verguenza el pendejo ese,1,1
me caga estar aburrido porque me pongo a gastar dinero a lo pendejo,0,1
el vato le ha de estar contando a sus colegas que me puse bien mamona pero goey la unidad ya estaba apartada y solo estaba esperando a que me llamaras para que me entregaras pendejo,1,1
es dificil que te expliquen pues en ocasiones salen guisados desde la cuadra culpan a los jockeys  los entrenadores lo ponen en averiguacion y los vuelven a guisar en la cuadra asi tambien funciona y siempre la culpa es del mas pendejo el jockey esta como una de tantas,0,1
"la agenda de la enemiga de las ensaladas es mucho mas clara

lamerle los huevos al pendejo de palacio un dia si y el otro tambien",1,1
jaja que pendejo,1,1
"dejen de tuitear de hs casa dia encuentran nuevo pendejo del cual hablar 

afortunadamente su pelicula al parecer es una  y todo el mame pasara pronto",1,1
bueno es la hora en la que me hago pendejo en el trabajo hahahahahha,0,1
pero si manana don pendejo dice que mejor la guardia civil se queda como esta manana mismo todos los perritos come torta van a cambiar su discurso para apoyarlo no se trata del contexto ni del tiempo se trata de lamerle los huevos un dia si y el otro tambien,1,1
porque crees que es motociclista obvio es un pendejo,1,1
no se como existen personas que real no pueden tener una buena amistad con sus exs yo con el mio me llevo dhvs nos llevamos mejor que cuando andabamos si ves esto pendejo tqm,0,1
este malviviente ha dicho algo muy grave le dice a todo un pais q fueron manipulados y q eligieron mal esta es la izquierda rancia y antidemocratica cuando ganan fue un logro d ellos cuando pierden el ciudadano es imbecil q se dejo manipular por los medios ricos y el imperio,1,0
"si es congruente no como la del imbecil de palacio

o no saben que contestar",1,0
pero el imbecil que esta grabando y no hace nada  complice tambien mai nacidos,1,0
es que no puedo creer aun que el wey sea tan arrimado de andar con mis conocidos a mi me hablan sus amigos y en visto los dejo  dejar a alguien es dejar circulos amistades para buscar la paz  no estar jodiendo y andar donde yo te lleve imbecil,1,0
jajajajaja puras fakes inventa este imbecil priandejo,1,0
chatpm imbecil te deseo te escupan la comida en todos lados a los que vayas,1,0
ok meropenem metronidazol imbecil,1,0
mejor por que no vas a reirte de tu madre imbecil,1,0
lo que no se puede volver a repetir es tener un inepto resentido ignorante y mentiroso a cargo del gobierno de nuestro pais es un perfecto imbecil,1,0
admirar a un imbecil te hace un imbecil al cuadrado,1,0
de las birrias te falto el pendejo de villa villa aunque ese no cuenta por imbecil,1,0
todos los dias estaba sedada no se como acabe la prepa soy una imbecil ahora,1,0
pendejo pues si no conoce al tipo imbecil esta preguntando a traves de sus redes sociales para poder encontrarlo y asi poder ayudarlo de otro modo seria aun mas dificil encontrarlo mejor deja de decir mamadas y que te valga verga x40000,1,0
algo trascendental de este imbecil,1,0
denunciado por imbecil,1,0
por este tuit el fascista de  manda a detener a un tuitero la deriva autoritaria de el salvador comandada por un imbecil,1,0
quien en su sano juicio le dice que no al club mas grande de la historia namas un imbecil como el,1,0
"pero tu eres tonto verdad con sedes en bilbao y madrid y la directora deportiva pilar sainz enredada de madrid 

pobre imbecil",1,0
no digas pendejadas no tienes la mas pauperrima idea de lo que es la prision preventiva  es una pena anticipada y permite que el mp y policia ministerial no investigue nada porque ya tienes en la carcel a quien se les de la gana  estudia primero imbecil,1,0
chapin gran imbecil queriendo hacerse el gracioso parte 98764324678898654311460876906426780006r3114678900086549 miles de millones,1,0
quien diseno las pestanas del sat tremendo imbecil ahi esta uno tratando de descifrar como hacer un tramite que deberia ser sencillo,1,0
hoy la gente amanecio mas imbecil de lo normal marico,1,0
con que mas se va a medir si es el torneo mas importante de clubes del mundo imbecil,0,0
jaja  por hacer una pregunta pendej a una secretaria de estado no mms estas bien imbecil ni tu sabes como van aprender los ninos el presentador de la amlo tv esta peor de imbecil,1,1
eres amlover entonces le creiste cuando certifico ganador al kkas ahora q no le parece a ese imbecil lo atacan q pinche hipocresia,1,1
espero que no estes hablando en serio kokis porque pareces imbecil jaja tqm,1,0
preguntale a pena nieto el fue el imbecil que lo compro,1,0
saluden al imbecil que quito de ultima hora en el fantasy a grimaldo 25 puntos para poner a chilwell 1 punto,1,0
"claro
imbecil",1,0
el callo de imbecil arrastrandose,1,0
golden boy jajaja pobre imbecil pinche premio tv y novelas del futbol aca solo valen los premios y reconocimientos chingones jamas hara algo el morrito tuvo la oportunidad de su vida y ahora sera uno mas,1,1
justamente hoy el imbecil de  le dio la razon,1,0
"hay si le digo kks y asi me siento un poquito mejor y se alivia mi escozorjaja la fragil dice imbecil
pobrecitos sus unicos argumentos son insultar
pero tranquilos jaja
esperemos ansiosos el 2024
ya los quiero leer",1,1
"y por eso uno le puede decir imbecil 

 no comparto en lo absoluto tu tweet",0,0
"un politico que miente en todas las ocasiones
que no cumple y nunca da explicaciones
que engana traiciona y le botan hasta los botones
es un imbecil al que no le quedan ni los calzones

el que entendio entendio",1,0
otro imbecil que no acepta criticas,1,0
la derecha la tenes en la cola kuka imbecil,1,1
ese imbecil es bueno pero para venderse al mejor postor y todavia lo quieren en la decepcion mexicana,1,0
individual jamas ganara nada importante el pobre imbecil,1,0
ese pobre infeliz  todo lo toma de a juego x eso cae mal x imbecil y si es facil publicar de sexualidad eres ese pobre diablo piensa q aun es taboo y hasta incongruente es pero ya ni lo pelen,1,0
mbappe nunca ganara nada importante pobre imbecil,1,0
palero es mejor en tu caso palero imbecil,1,0
imbecil no lo  conoce quiere sus datos,1,0
"aaah pues no se tremendo imbecil digo si estoy haciendo una reservacion en airbnb es porque a huevo necesito hospedarme

y pos ya me dio la premisa que es tremendo imbecil entonces mejor cancelar la reservacion vayase alv",1,1
"reserve un airbnb y te da chance de escribirle al host le dije que estaba emocionada de ir a ese lugar y que le agradeceria de antemano que me diera referencias del transporte

don imbecil pero te vas a hospedar o solo necesitas ayuda con el transporte",0,0
ay wey estoy harta de ser la que siempre apoya y cuando el imbecil esta estable se busca a otra,1,1
bien merecido se lo tienen por creer en las mentiras del imbecil al que creyeron que era el portador del cambio y a su sequito de truhanes,1,0
maldita sea la hora en que votaron por ese imbecil,1,0
"los partidos de oposicion no ven por los ciudadanos no peques de ingenuo

los de oposicion solo estan encabronados porque no les esta tocando a ellos repartirse el botin y se lo esta llevando la mafia de morena

amlo es un imbecil mierda pero tampoco es que haya opciones",1,1
algun dia el destino me hara caer en tus brazos mi amor imbecil,0,0
a este imbecil descerebrado le vale  madres mexico y los mexicanos lo mismo que a su partido estan  en contra de todo lo que este gobierno proponga solo tienen denostaciones infundios son incapaces de proponer algo positivo    mierdas,1,1
imbecil si muy,1,0
un imbecil ese briceno,1,0
empieza a llover y la gente se pone imbecil para manejar,1,0
"ya va empezar otra vez el imbecil con sus chistes de la comida de a 12 varitas 

muy chistoso el imbecil",1,0
estoy lo que le sigue de imbecil,1,0
falto cuando este imbecil de   decia que no servia el cubre bocas y que segun la   le rogaba para que los dirigiera segun su padrote,1,0
"estas imbecil la pandemia por covid termino el 8 de mayo de 2020  segun     y el 99 ya esta vacunado y no necesita ninguna accion por parte del   ya que comprar vacunas solo hace ricos a los farmaceuticos 
los muertos son exageraciones",1,0
un heroe respeta las leyes es educado es conciente con las personas es capaz de aceptar errores pero un motorista en guatemala es menos que un heroe es un desadaptado social un imbecil al volante y mas,1,0
como no le van a aplaudir al imbecil mas grande y con la mayor cartera vencida del planeta,1,0
2022 dos anos de pandemia y la gente aun cree que rociando alcohol o sustancias desinfectantes en superficies se previene contra el covid,0,0
34 no recuerdo exactamente supongo que cuando yo a los 11 anos era el unico que actuaba infantil y mis primos y hasta mis sobrinos si llegue a ser tio a los 4 anos que son entre 2 a 3 anos menores que yo eran un poco mas maduros,0,0
las recomendaciones preventivas en el estudio esta premisa solo se cumplio en 1 de cada 3 individuos algo parecido pasa con los muy populares y poco utiles checkups b kannel escribio hace muchos anos aterosclerosis no es igual a eventos,0,0
especialmente a traves de estudios de imagen en hombres adultos mayores en su analisis de mitad de camino o 5 anos no demostro un beneficio claro en reduccion de muerte total su desenlace principal y si mostro algunas senales sugestivas de reduccion del 3mace,0,0
despues de 18 anos de campana y de garnachas hoy le da la razon a calderon,0,0
"querre quitar al poco tiempo
si hasta tengo dos lunares nuevos desde hace minimo tres anos y a veces los veo y me restriego como si se fueran a quitar jajajajaja",0,0
yo cumplo anos el 24,0,0
"la tecnologia nueva que tu dices es la que se ha ido innovando hace como 10 anos es increible que la morra haga uso de sus habilidades y esa tecnologia nueva para hacer este tipo de contenido yo quiero pensar que esta pendejeando solamente para que caigan su subs
morraridicula",0,0
sentenciado pgje establece condena de 6 anos por caso de violacion en la paz,0,0
sentenciado pgje establece condena de 6 anos por caso de violacion en la paz,0,0
el  volvera despues de dos anos sabemos que muchos estaban esperando esta noticia   pronto daremos detalles,0,0
te saludo desde mexico hace 23 anos ya,0,0
ok si ya estoy harta del cole pero como putas pasaron tan rapido 5 anos y solo me quedan 2 meses para irme,0,1
popularidad a billetazos con incremento de migrantes mexicanos a eua como no se habia visto en 15 anos con un director del imss que organiza el desfile del 16 de septiembre pero sin medicamentos en hospitales con una secretaria de educacion fiel sin preparacion para el cargo,0,0
si desde hace muchos anos,0,0
en queretaro una menor de 17 anos fue asesinada al interior de un domicilio ubicado en el centro historico de la ciudad capital,0,0
wtf agosto duro mil anos y septiembre nos esta metiendo 6 dias en 3 segundos,0,0
"mi jefa es la audiencia
the rock

mas le vale que no nos haya tomando el pelo todos estos anos",0,0
en el fondo admira a calderon y hoy dio un paso mas para emulando pd 18 de candidato  10 de porro en la unam y tomando pozos  4 de presimiente nos dan 32 anos de estar jodiendo,0,0
memo del bosque abandona televisa tras 30 anos de trabajo gracias siempre emilio azcarraga,0,0
de 97 anos el primer actor se siente desplazado de la television,0,0
"aqui  creemos que la democracia es el mejor modelo social que existe pues no tenemos otras referencias hasta ahora

conoce la benevola  evolucionados con 800 mil anos de adelanto

escucha  500 aqui  con",0,0
lo unico que veo son minimo dos anos de terapia,0,0
de 97 anos el primer actor se siente desplazado de la television,0,0
y 4 anos mas tarde se da cuenta que gobernar es mas que ofrecer prometer y mas bla bla bla,0,0
5 anos con buenos resultados,0,0
pues es lo que pregono este inepto por muchos anos y ahora por sus intereses personales cambio de opinion,0,0
las senoras henecias que llevan anos asi tambien porque no quieren ver nada de la historia de hyun en el grupo porque el ya es solista asi que no conocen otra cancion mas que esa porque es su yiyo eterno,0,0
saben leer pero no tienen idea de lo que leen  esta pobre senora argumenta puros topicos que van en la linea del apruebo pero la linda voto rechazo  a este pais le faltan 100 anos mas  se tienen que morir varias generaciones mas,0,0
montrezl harrell firma dos anos con 76ers,0,0
una relacion de odio amor a cumplir anos,0,0
los jovenes que necesiten incorporarse al mercado de trabajo tendran que esperar 10 anos mas,0,0
yo desde hace muchos anos cai en cuenta que todos gozamos de muchos privilegios sobre otros y no esta mal siempre y cuando no los utilicemos para cagar a las demas personas,0,1
canciller acabo de ver estas pipas en periferico norte son las pipas de gasolina para arreglar el desabasto de hace 4 anos ocasionando por el huachicol ya llegaron de eeuu se siguen esperando a pesar de haberse debitado del presupuesto,0,0
"a ver criaturas seamos congruentes si este individuo ya demostro que la constitucion le vale y que se brinca las trancas todas por que le apostamos a que ya nomas le quedan 2 anos y dias o que ya que termine y se vaya a su rancho
que ilusos",0,0
el baby boom la generacion que mas ha contribuido a la economia de la nacion y ahora el problema son ellos igual deberian de ver el pais de vagos y analfabetos que han construido en los ultimos anos y preguntarse porque no hay dinero y donde esta metido lo que hay que leer,1,1
que bonito se siente cuando digo tengo 24 anos y me dicen la senos hay estas bien jovencita,0,0
"miriam alexandra sanchez villagran de 16 anos de edad desaparecio el 06 de septiembre de 2022 en colomba costa cuca quetzaltenango

comparte y ayudanos con su localizacion
si tienes informacion llama al 1546",0,0
una relacion que el novio toxico lopez tiene cuatro anos forzando y ya casi la logra,0,0
"despues de tantos anos te acostumbras a que no peguen tu edad nunca jajajajaja
hace unos meses alguien me lanzo 18 lo mas alto hasta ahora pero porque escucho que estaba en la uni",0,0
"lo que es 
dejen de dar maromas parecen p3nd3j0s el inmamable mintio

los otros tambien mintieron
entonces sabiendo eso llevan 4 anos haciendose pendejosen vez de investigar capturar y procesar  idiotas",1,1
"los genios del pan  pretenden encender al pais 
eliminando la prision preventiva oficiosa y no adherir la guardia nacional a la sedena 
imaginen el caos 
impunidad
inseguridad
delincuencia con  delitos graves en libertad mientras hay una sentencia y eso puede pasar anos",0,0
"estrategia de vacunacion anti covid en el municipio de  para aplicar vacuna de refuerzo a personas adultas mayores de 60 anos y la primera dosis a mayores de 18 anos
se aplicara el biologico de",0,0
gana mexico y pierden los que mal gobernaron 90 anos,0,0
una madre de 38 anos que seguia una estricta dieta vegana fue sentenciada a cadena perpetua por la muerte de su bebe de 18 meses de edad en 2019 en florida estados unidos,0,0
gobierno del cambio rescato puente vehicular en circuito potosi por anos abandonado,0,0
"leon trotsky estuvo cerca de ser el sucesor de lenin

por el contrario termino perseguido exiliado y asesinado en la ciudad de mexico

hoy se cumplen 82 anos de su muerte

para conocer su biografia te recomendamos",0,0
habitante de  le gana demanda a la empresa productiva por explotar su predio por 21 anos,0,0
carolina toha santiago 57 anos es hija de jose toha quien tambien fue ministro del interior durante la presidencia de salvador allende y quien fue asesinado en 1974 tras el golpe de pinochet,0,0
felicidades y muchas bendiciones que cumplan  muchos anos mas de matrimonio y que tengan buena salud,0,0
creo que en mas de 20 anos de conocerte pro primera vez tienes razon,0,0
entre estos restos se incluyen 71 cuerpos completos indico el colectivo solecito que localizo en 2016 la fosa clandestina mas grande de latam,0,0
funeraria abandonada en eeuu luce intacta durante anos y todavia contiene restos humanos,0,0
entre estos restos se incluyen 71 cuerpos completos indico el colectivo solecito que localizo en 2016 la fosa clandestina mas grande de latam,0,0
gilles bouhours el nino de cinco anos al que eligio la virgen para transmitir el mensaje de su asuncion al cielo al papa pio xii,0,0
"la conservadora liz truss de 47 anos asume como primera ministra del reino unido al imponerse sobre rishi sunak en una votacion dentro del partido conservador

seria la tercera mujer en liderar el pais y la cuarta primera ministra en solo seis anos",0,0
"por favor ayudame a difundir es un familiar que esta perdido desde hace 10 dias
diego ulloa gonzalez
ci 5440345
fecha nacimiento 20111953
edad 68 anos sector fundo anaco conjunto residencial dona josefita  casa v 117 anaco estado anzoategui",0,0
el 29 de agosto leticia rosas 45 anos salio de  su  en la  colonia independencia de lerdo durango  la subieron a un vehiculo la mantuvieron encerrada y el fin de semana escapo la hallaron policias estatales y llevaron un hospital de cuencame durango,0,0
dentro de 50 anos,0,0
umbila una pequena comunidad de  caribe norte volvio a ser tenida de sangre raquel benigna orozco blandon de 36 anos tenia 2 meses de haber regresado con jose noel jarquin lopez de 40 quien el pasado 3 de  la mato a machetazos,0,0
