Groserias,Vulgar,Ofensivo,clean_tweet
"La velocidad que tenía. Pinche Carioca siempre fue crack, corriendo así nadie le quita el mejor 5 de la liga. https://t.co/qOdkcB8V7V",1,0,"La velocidad que tenía. Pinche Carioca siempre fue crack, corriendo así nadie le quita el mejor 5 de la liga. https://t.co/qOdkcB8V7V"
@ChumelTorres Jajaja cuánto te esta pagando el PRIAN pinche chmel torres,1,0,@ChumelTorres Jajaja cuánto te esta pagando el PRIAN pinche chmel torres
una lloradita y a seguir en pinche gyo,1,0,una lloradita y a seguir en pinche gyo
"@TestigodeBigBen @agusmm03 gracias amigo tqm, pinché agus si me dolió, sobre todo que viniera d ti",1,0,"@TestigodeBigBen @agusmm03 gracias amigo tqm, pinché agus si me dolió, sobre todo que viniera d ti"
que pedo con el pinche ruta 23 nomas me la andas aplicando,1,0,que pedo con el pinche ruta 23 nomas me la andas aplicando
"@macho_cabrio Su pinche carisma complementa todos los atributos que mencionas, insisto es adorable por todos sus ángulos, ahí si que como dice Luismi “qué nivel de mujer”",1,0,"@macho_cabrio Su pinche carisma complementa todos los atributos que mencionas, insisto es adorable por todos sus ángulos, ahí si que como dice Luismi “qué nivel de mujer”"
Bien pinche sad,1,0,Bien pinche sad
"Pinche @BBVA_Mex otra vez se me pasó de chorizo. 

Apenas ayer marqué para aclarar lo de una bonificación que no me hicieron, y hoy amanezco con que me eliminaron los puntos 🤡

Si acaso eran como $200, pero no mamen no me los quiten nomas por nomas.",1,0,"Pinche @BBVA_Mex otra vez se me pasó de chorizo. 

Apenas ayer marqué para aclarar lo de una bonificación que no me hicieron, y hoy amanezco con que me eliminaron los puntos 🤡

Si acaso eran como $200, pero no mamen no me los quiten nomas por nomas."
"Un beso al chacal guapo que me salvo de la mordida de un perro , neta que pinche conexión tuvimos ❤️ te amo donde quiera que estes",1,0,"Un beso al chacal guapo que me salvo de la mordida de un perro , neta que pinche conexión tuvimos ❤️ te amo donde quiera que estes"
@mikeintense @occimorons @Brionzael Sí pinche vieja,1,0,@mikeintense @occimorons @Brionzael Sí pinche vieja
"@FerMoctezumaO Bien por Osorio Chong, Amlito Moreno a chingar a su reputisima madre pinche naco de MIERDA traidor.",1,1,"@FerMoctezumaO Bien por Osorio Chong, Amlito Moreno a chingar a su reputisima madre pinche naco de MIERDA traidor."
"@RicardoMonrealA @NachoRgz @MorenaSenadores Plural? Y entonces para que le sirvieron el chingo de votos a Morena? Pinche convicción boba de la democracia. Cómo te lo he dicho siempre, desde la primera vez en Fresnillo, eres HIPÓCRITA y HOCICØN @RicardoMonrealA",1,1,"@RicardoMonrealA @NachoRgz @MorenaSenadores Plural? Y entonces para que le sirvieron el chingo de votos a Morena? Pinche convicción boba de la democracia. Cómo te lo he dicho siempre, desde la primera vez en Fresnillo, eres HIPÓCRITA y HOCICØN @RicardoMonrealA"
"@red_191686 @harfuch_omar @OHarfuch @elpaismexico Chinga a tu madre, pinche envidioso. Das lástima infeliz.",1,1,"@red_191686 @harfuch_omar @OHarfuch @elpaismexico Chinga a tu madre, pinche envidioso. Das lástima infeliz."
Pinche coraje.,1,0,Pinche coraje.
"Casi 2 millones de dolares y el baño esta cerca de la cama, no mames pinche cuarto hediondo a culo https://t.co/4cRQGDzxcD",1,1,"Casi 2 millones de dolares y el baño esta cerca de la cama, no mames pinche cuarto hediondo a culo https://t.co/4cRQGDzxcD"
"Wey no es normal mi pinche dolor de espalda.
El fin de semana no podía pararme",1,0,"Wey no es normal mi pinche dolor de espalda.
El fin de semana no podía pararme"
@JCarlos_Valerio Chasm pinché sapo metiche y Magnicida,1,1,@JCarlos_Valerio Chasm pinché sapo metiche y Magnicida
"ME SIENTO INSEGURA
Me siento insegura y eso lo provoca él. Cuando la ex de mi vato sube una foto, siempre, SIEMPRE wey, siempre está su me encanta en la foto de la p1nch3 vieja y cuando yo subo una foto, ni su pinche like.",1,1,"ME SIENTO INSEGURA
Me siento insegura y eso lo provoca él. Cuando la ex de mi vato sube una foto, siempre, SIEMPRE wey, siempre está su me encanta en la foto de la p1nch3 vieja y cuando yo subo una foto, ni su pinche like."
"@204_Luisa Pinche astrología por fin tuvo razón en algo, soi acuario",1,0,"@204_Luisa Pinche astrología por fin tuvo razón en algo, soi acuario"
pinché día culero,1,1,pinché día culero
"“El miedo lleva a la ira, la ira lleva al odio, el odio lleva al sufrimiento""

Cuánta pinche razón tiene esta frase de SW.",1,0,"“El miedo lleva a la ira, la ira lleva al odio, el odio lleva al sufrimiento""

Cuánta pinche razón tiene esta frase de SW."
@KayRemix Máster sabemos que cuando vuelvas será puro pinche 🔥🔥🔥🔥🔥🔥,1,0,@KayRemix Máster sabemos que cuando vuelvas será puro pinche 🔥🔥🔥🔥🔥🔥
Jajajaja están que se les pudre el hígado del pinche coraje que hacen y de como poco a poco se está tirando a la oposición a la basura jajaja.,1,0,Jajajaja están que se les pudre el hígado del pinche coraje que hacen y de como poco a poco se está tirando a la oposición a la basura jajaja.
"pinche lluvia en new york, hoy hubiera visto pitchear a billy https://t.co/FZjZDTioeK",1,0,"pinche lluvia en new york, hoy hubiera visto pitchear a billy https://t.co/FZjZDTioeK"
"@SocialDmocrata_ Y ese wey que hace dando un comunicado en el Senado? Que se vaya a su pinché oficina, ah pero cómo está con sus weyes a un lado se siente mejor.",1,0,"@SocialDmocrata_ Y ese wey que hace dando un comunicado en el Senado? Que se vaya a su pinché oficina, ah pero cómo está con sus weyes a un lado se siente mejor."
Sigo sin encontrar a mi Dory y la verdad es que estoy bien pinche triste.,1,0,Sigo sin encontrar a mi Dory y la verdad es que estoy bien pinche triste.
@ferMede Uuuuu las retas aunque luego como me desespera pinché monito no salta como uno quiere y a empezar oootra vez jajajaja,1,0,@ferMede Uuuuu las retas aunque luego como me desespera pinché monito no salta como uno quiere y a empezar oootra vez jajajaja
¿Es neta @MetroCDMX? ¿Anunciando un pinche esquema Ponzi en su servicio de conexión? 🤦🤦🤦 https://t.co/2mT9QF0zGi,1,0,¿Es neta @MetroCDMX? ¿Anunciando un pinche esquema Ponzi en su servicio de conexión? 🤦🤦🤦 https://t.co/2mT9QF0zGi
@12HYRS @Gaferma2 Pinche tóxico,1,0,@12HYRS @Gaferma2 Pinche tóxico
PINCHE VIEJA,1,0,PINCHE VIEJA
Cómo no voy a estar bien pinche loca si de pequeña acompañaba a mi mamá a espiar a mi papá 🤣,1,0,Cómo no voy a estar bien pinche loca si de pequeña acompañaba a mi mamá a espiar a mi papá 🤣
"@reneromanosport @MicheleG3 Tambien son seres humanos y tienen derecho a divertirse por lo que en que chingados les afecta, pinche gente calumniosa, mejor cuiden sus mendigas vidas.",1,1,"@reneromanosport @MicheleG3 Tambien son seres humanos y tienen derecho a divertirse por lo que en que chingados les afecta, pinche gente calumniosa, mejor cuiden sus mendigas vidas."
Me pegue entre la puerta y el palo del trapeador. Awebo se la hice de pedo al pinche palo 😂,1,0,Me pegue entre la puerta y el palo del trapeador. Awebo se la hice de pedo al pinche palo 😂
"No solo en tw, en las juntas de la escuela nunca falta el pinche traumado que viene a despotricar cosas que ni al caso.",1,1,"No solo en tw, en las juntas de la escuela nunca falta el pinche traumado que viene a despotricar cosas que ni al caso."
Porque la gente en este pinché país se disculpa por todo? Me cagan.,1,0,Porque la gente en este pinché país se disculpa por todo? Me cagan.
@EduardoOyangur3 ay wey pinché marica sin bolas,1,1,@EduardoOyangur3 ay wey pinché marica sin bolas
Pinche examen me metió la que te valgo,1,0,Pinche examen me metió la que te valgo
"@elchascas disculpas al peo, al aire...una mierda de ser! https://t.co/Co74APss81",1,1,"@elchascas disculpas al peo, al aire...una mierda de ser! https://t.co/Co74APss81"
Como le gusta invocar estallidos sociales en otros países. De reventar un estallido social en Venezuela esta rata @NicolasMaduro pegaría un carrerón dejando un gran rayón de mierda. https://t.co/OlxnPbclSv,1,0,Como le gusta invocar estallidos sociales en otros países. De reventar un estallido social en Venezuela esta rata @NicolasMaduro pegaría un carrerón dejando un gran rayón de mierda. https://t.co/OlxnPbclSv
@fernandeznorona Los dos son un montón de mierda,1,1,@fernandeznorona Los dos son un montón de mierda
ptm lo que es no tener ni mierda que hacer jajajajaja,1,0,ptm lo que es no tener ni mierda que hacer jajajajaja
"@HomophobicOoc Mano, q tan enfermos mentalmente tienen que estar para decir eso. Me vale mierda su religión y cultura si violan los derechos humanos de otr@s",1,1,"@HomophobicOoc Mano, q tan enfermos mentalmente tienen que estar para decir eso. Me vale mierda su religión y cultura si violan los derechos humanos de otr@s"
@nosoyyojijitl Que paja ese día me bañe en loción por el waro no olía a mierda 😢,1,0,@nosoyyojijitl Que paja ese día me bañe en loción por el waro no olía a mierda 😢
@_Santidomwelsh Eres igual de mierda que tu novia o peor,1,1,@_Santidomwelsh Eres igual de mierda que tu novia o peor
Tengo que fumar esa mierda para olvidar el pain,1,0,Tengo que fumar esa mierda para olvidar el pain
"@puro_beIlaqueo Mierda??? Morena eso si es mierda! De Netflix me gustan las series de comida como las crónicas del Taco, no es tan malo! MORENA SI! Jajaja",1,1,"@puro_beIlaqueo Mierda??? Morena eso si es mierda! De Netflix me gustan las series de comida como las crónicas del Taco, no es tan malo! MORENA SI! Jajaja"
@Leila_Nash @D4MON Pero debe ser la@misma mierda con distinto olor,1,0,@Leila_Nash @D4MON Pero debe ser la@misma mierda con distinto olor
@CruzAzul dan pena directiva de mierda,1,1,@CruzAzul dan pena directiva de mierda
Por ahí hay tanta gente de oro creyendo mierda por culpa de gente que se cree oro,1,0,Por ahí hay tanta gente de oro creyendo mierda por culpa de gente que se cree oro
"Party es god, pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd",1,1,"Party es god, pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd"
@PonchoGutz No confundan mierda con mermelada palerito,1,1,@PonchoGutz No confundan mierda con mermelada palerito
"@FandePobega Es un 4/10 para mi, ni a mas o menos llego su partido.... y de paso su actitud de mierda al ser reemplazado que comparto contigo lo hizo ver todavia peor!!",1,1,"@FandePobega Es un 4/10 para mi, ni a mas o menos llego su partido.... y de paso su actitud de mierda al ser reemplazado que comparto contigo lo hizo ver todavia peor!!"
@PazPanquecap Puedo jurar que he visto esa mierda en mis pesadillas,1,1,@PazPanquecap Puedo jurar que he visto esa mierda en mis pesadillas
@ClavdiaCornell Gente más mierda la que dejó el covid,1,1,@ClavdiaCornell Gente más mierda la que dejó el covid
"@alitomorenoc Ufff, va a pasar a la historia este personaje pero por las razones equivocadas… miren que asesinar y enterrar a un Partido Político que para bien o para mal fue hegemónico durante décadas, solo para no pisar la cárcel, está muy cabron. Enhorabuena, un político de mierda más. Ja",1,1,"@alitomorenoc Ufff, va a pasar a la historia este personaje pero por las razones equivocadas… miren que asesinar y enterrar a un Partido Político que para bien o para mal fue hegemónico durante décadas, solo para no pisar la cárcel, está muy cabron. Enhorabuena, un político de mierda más. Ja"
Descubrir que la gente es mierda también duele,1,1,Descubrir que la gente es mierda también duele
"@CrticaConstru20 Jajajaja ""gano diez veces lo que tú"" quiere decir que no gana ni mierda.
Decime lo que presumís y te diré de lo que careces 🤣",1,0,"@CrticaConstru20 Jajajaja ""gano diez veces lo que tú"" quiere decir que no gana ni mierda.
Decime lo que presumís y te diré de lo que careces 🤣"
triste es ver como no le importas una mierda a nadie,1,1,triste es ver como no le importas una mierda a nadie
Ay wey q coraje con la señal y el internrt de mierda de sanfe,1,0,Ay wey q coraje con la señal y el internrt de mierda de sanfe
"En serio viene otro round de residente? No puede ser. 

Como es posible que permitan otra mierda de esas? @WhiteLionRecord no tiene verguenza?

Diablo darell debe estar bien mordio JAJAJAAJAJAJAJ 

Pa joder jura que es el highlight de los REMIX JAJAJAJAJAAJJAJAJAAJA",1,1,"En serio viene otro round de residente? No puede ser. 

Como es posible que permitan otra mierda de esas? @WhiteLionRecord no tiene verguenza?

Diablo darell debe estar bien mordio JAJAJAAJAJAJAJ 

Pa joder jura que es el highlight de los REMIX JAJAJAJAJAAJJAJAJAAJA"
@ivansab76 @FlacaExplosiva Y eso es un chiste pendejo? Gastaste la única neurona que tenés en esa mierda… 😴 mínimo quedaste en estado vegetal después de mandar ese tuit!,1,1,@ivansab76 @FlacaExplosiva Y eso es un chiste pendejo? Gastaste la única neurona que tenés en esa mierda… 😴 mínimo quedaste en estado vegetal después de mandar ese tuit!
"Fíjense a donde van a tirar mierda de las personas, pq luego a los que nos tiran nos enteramos de todo jaja",1,0,"Fíjense a donde van a tirar mierda de las personas, pq luego a los que nos tiran nos enteramos de todo jaja"
Seguiré recalcando que mi interés es la peor mierda que existe🥲,1,0,Seguiré recalcando que mi interés es la peor mierda que existe🥲
"@casicien @TlalpanVecinos @TlalpanAl @vecinoseguro @TlalpanCivico @SoloenTlalpan Dónde está el personal de tránsito @UCS_GCDMX @SSC_CDMX @OVIALCDMX ???? Tlalpan y Coyoacán están hechos mierda con el tráfico. Ponlos a trabajar @C5_CDMX !!! Hay que dar salida en insurgentes y Tlalpan, periférico y Tlalpan, insurgentes y circuito azteca",1,1,"@casicien @TlalpanVecinos @TlalpanAl @vecinoseguro @TlalpanCivico @SoloenTlalpan Dónde está el personal de tránsito @UCS_GCDMX @SSC_CDMX @OVIALCDMX ???? Tlalpan y Coyoacán están hechos mierda con el tráfico. Ponlos a trabajar @C5_CDMX !!! Hay que dar salida en insurgentes y Tlalpan, periférico y Tlalpan, insurgentes y circuito azteca"
"pobre señora. les apuesto que no deja de ver VTV yo no me explico como una persona mayor que vivió la cuarta. pueda defender este desastre de mierda. mire señora dele gracias a LORENZO ya que usted buscaba harina del Gob. en el 2017 o 2018 y no había café, no había. https://t.co/I4wUsd4NLy",1,0,"pobre señora. les apuesto que no deja de ver VTV yo no me explico como una persona mayor que vivió la cuarta. pueda defender este desastre de mierda. mire señora dele gracias a LORENZO ya que usted buscaba harina del Gob. en el 2017 o 2018 y no había café, no había. https://t.co/I4wUsd4NLy"
"@FerMoctezumaO Bien por Osorio Chong, Amlito Moreno a chingar a su reputisima madre pinche naco de MIERDA traidor.",1,1,"@FerMoctezumaO Bien por Osorio Chong, Amlito Moreno a chingar a su reputisima madre pinche naco de MIERDA traidor."
Se me sale de las manos lo mierda que puedo ser 😫,1,1,Se me sale de las manos lo mierda que puedo ser 😫
"¿Quien más piensa que Netflix es una mierda , para invitarle una chela ??",1,1,"¿Quien más piensa que Netflix es una mierda , para invitarle una chela ??"
Buscar renta en Mazatlán es una mierda... 🥲,1,0,Buscar renta en Mazatlán es una mierda... 🥲
"@RobertoMadrazo_ @alitomorenoc ya pactó, alito acaba de vender la poca credibilidad que tenía el pri, su corrupción lo tiene tan hundido que prefiere venderse a amlo y que el país se vaya a la mierda",1,0,"@RobertoMadrazo_ @alitomorenoc ya pactó, alito acaba de vender la poca credibilidad que tenía el pri, su corrupción lo tiene tan hundido que prefiere venderse a amlo y que el país se vaya a la mierda"
"@diana_nerd los industriales y empresarios en #Mexico son unos parásitos viven de lo que pueden sacar al Estado, y/o evadir impuestos y mucha explotación laboral con sueldos de mierda y malas condiciones laborales y poca inversión en personal calificado e infraestructura de primer orden",1,1,"@diana_nerd los industriales y empresarios en #Mexico son unos parásitos viven de lo que pueden sacar al Estado, y/o evadir impuestos y mucha explotación laboral con sueldos de mierda y malas condiciones laborales y poca inversión en personal calificado e infraestructura de primer orden"
"Ay bueno, con esto aprendí que hay que dejar a las personas con su mentalidad de mierda y que las verdaderas amigas si te defienden cuando las estas cagando tan mal y dando pena ajena",1,1,"Ay bueno, con esto aprendí que hay que dejar a las personas con su mentalidad de mierda y que las verdaderas amigas si te defienden cuando las estas cagando tan mal y dando pena ajena"
"Un par de días y nos fuimooooos de vacaciones!

-Trabajo de mierda, pero te necesito.",1,0,"Un par de días y nos fuimooooos de vacaciones!

-Trabajo de mierda, pero te necesito."
Jorge adonay que buena mierda 🤣,1,0,Jorge adonay que buena mierda 🤣
@frankogote LOS COMUNISTAS SON UNA MIERDA Y YA TE QUEDO CLARO CON EL RECHAZO.,1,1,@frankogote LOS COMUNISTAS SON UNA MIERDA Y YA TE QUEDO CLARO CON EL RECHAZO.
"@callodehacha Si @RicardoAnayaC tuviera los huevos bien puestos estaría en México confrontando a @lopezobrador_ , pero como solo es un bufón cobarde de mierda desde su escondite en Atlanta ataca.",1,1,"@callodehacha Si @RicardoAnayaC tuviera los huevos bien puestos estaría en México confrontando a @lopezobrador_ , pero como solo es un bufón cobarde de mierda desde su escondite en Atlanta ataca."
"@celesmadrigal Ridiculo es andar promoviendo odio y descriminacion en 2022, y disfrazarlos de ""opinion"" para no quedar como una mierda de persona.",1,1,"@celesmadrigal Ridiculo es andar promoviendo odio y descriminacion en 2022, y disfrazarlos de ""opinion"" para no quedar como una mierda de persona."
"“Par de mierda' me quieren joder
Pero no soy fácil de bajar”",1,1,"“Par de mierda' me quieren joder
Pero no soy fácil de bajar”"
"@NadiValentina Tira pa’ tu charca, trinker de mierda",1,1,"@NadiValentina Tira pa’ tu charca, trinker de mierda"
@PonchoGutz A que la seguridad pública actual es una mierda. Yo siento más inseguridad si veo a una patrulla pasar 3 veces fuera de mi casa a andar por la calle a las 3 de la mañana,1,1,@PonchoGutz A que la seguridad pública actual es una mierda. Yo siento más inseguridad si veo a una patrulla pasar 3 veces fuera de mi casa a andar por la calle a las 3 de la mañana
Que mierda tener que firmar para que duerman a la perrita que intente rescatar. No puedo con mi vida ahorita 😭💔,1,0,Que mierda tener que firmar para que duerman a la perrita que intente rescatar. No puedo con mi vida ahorita 😭💔
El mundo sería una mierda sin el café ☕️ https://t.co/lhOg4OHwvk,1,0,El mundo sería una mierda sin el café ☕️ https://t.co/lhOg4OHwvk
"@AbusaRamiros esa cosa de dejar notitas prediciendo que va a hacer el otro es mierda que me da risa xddd
igual ni siquiera me desgastare defendiendolo, probablemente solo es una risita que el capitulo entero me quitaria si lo viera.",1,0,"@AbusaRamiros esa cosa de dejar notitas prediciendo que va a hacer el otro es mierda que me da risa xddd
igual ni siquiera me desgastare defendiendolo, probablemente solo es una risita que el capitulo entero me quitaria si lo viera."
37 minutos y solo ha ingresado 1 mierda 🫠😡,1,0,37 minutos y solo ha ingresado 1 mierda 🫠😡
No porque huela a mierda se sienta un culo.,1,1,No porque huela a mierda se sienta un culo.
@DearmasMasi @Luisito59247114  esta mierda debe estar mal,1,0,@DearmasMasi @Luisito59247114  esta mierda debe estar mal
"@jlaram12 @lalomendozach No fue una jugada, fue todo el partido, solo le veía la espalda al pecho frío de mierda",1,0,"@jlaram12 @lalomendozach No fue una jugada, fue todo el partido, solo le veía la espalda al pecho frío de mierda"
@la_bu_ Es llegando a una tienda y a hacerlas mierda en la maquina tragamonedas hasta bajar el enojo,1,0,@la_bu_ Es llegando a una tienda y a hacerlas mierda en la maquina tragamonedas hasta bajar el enojo
@Ultimo_Elegido @Romeo_257 @TvDannyZ Perdona ¿Mejor distribuida? ¿De qué mierda hablas?,1,0,@Ultimo_Elegido @Romeo_257 @TvDannyZ Perdona ¿Mejor distribuida? ¿De qué mierda hablas?
Si no es una mierda es otra,1,0,Si no es una mierda es otra
Se los comento por que yo me volví así después de tanta mierda y acoso del estado.,1,0,Se los comento por que yo me volví así después de tanta mierda y acoso del estado.
Tuve un día de mierda 😔,1,0,Tuve un día de mierda 😔
No quería decirlo pero vaya día de mierda,1,0,No quería decirlo pero vaya día de mierda
"Si no quieres que tus empleados sean respondones, trata de no ser mierda con tus empleados. Aplica para cualquier negocio",1,1,"Si no quieres que tus empleados sean respondones, trata de no ser mierda con tus empleados. Aplica para cualquier negocio"
@Palomin17772524 puta y en ese pueblo mierda hablan español siquiera pues???,1,1,@Palomin17772524 puta y en ese pueblo mierda hablan español siquiera pues???
"Conmigo no te portes mierda, porque te gano.",1,1,"Conmigo no te portes mierda, porque te gano."
"@jorge_eduardol Tú le tirabas mierda desde el fichaje jajaja, no te hagas güey",1,0,"@jorge_eduardol Tú le tirabas mierda desde el fichaje jajaja, no te hagas güey"
Pinché pendejo neta,1,1,Pinché pendejo neta
@Cherry_Bomb_bom @DavidPramo2 Si eres amlover no tienes derecho usar la palabra pendejo. Es como escupir hacia arriba,1,1,@Cherry_Bomb_bom @DavidPramo2 Si eres amlover no tienes derecho usar la palabra pendejo. Es como escupir hacia arriba
Que dlv por una de las 2 partes pero tmb me da gusto la vdd pa que me hago pendejo,1,0,Que dlv por una de las 2 partes pero tmb me da gusto la vdd pa que me hago pendejo
yo me hago el pendejo pero yo se quienes son,1,0,yo me hago el pendejo pero yo se quienes son
Me encanta sufrir a lo pendejo,1,0,Me encanta sufrir a lo pendejo
"@ChristianCast4n USTED PENDEJO, ya está como mi ex, mostrándole nuestra conversación a medio server",1,1,"@ChristianCast4n USTED PENDEJO, ya está como mi ex, mostrándole nuestra conversación a medio server"
@HolaAmigosDeYT Nomás a puro pendejo les gusta esos vídeos meados.,1,1,@HolaAmigosDeYT Nomás a puro pendejo les gusta esos vídeos meados.
"Si me engañas una vez la culpa es tuya, la segunda soy pendejo.",1,0,"Si me engañas una vez la culpa es tuya, la segunda soy pendejo."
"@FKmacho Sí,por qué no falta el pendejo que vaya en sentido contrario.",1,1,"@FKmacho Sí,por qué no falta el pendejo que vaya en sentido contrario."
Puro pendejo colecciona sticker de futbolistas 🫤,1,1,Puro pendejo colecciona sticker de futbolistas 🫤
@GlodeJo07 @LillyTellez Pendejo,1,1,@GlodeJo07 @LillyTellez Pendejo
"Party es god, pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd",1,1,"Party es god, pero cuando empieza a hablar el pendejo del final si se vuelve mierda xd"
@catrina_nortena SERÉ BREVE. ESTAS BIEN PENDEJO BOT 🤖,1,1,@catrina_nortena SERÉ BREVE. ESTAS BIEN PENDEJO BOT 🤖
@JJBE27 Puro pendejo le va a las shitBas,1,1,@JJBE27 Puro pendejo le va a las shitBas
Tenía que ser un pendejo en un Jeep https://t.co/V6TT2tAyIH,1,1,Tenía que ser un pendejo en un Jeep https://t.co/V6TT2tAyIH
"@GovPierluisi Luma pendejo que se ha tenido como gobernador de #PuertoRico , si usted mismo #PierLuma x #MMB",1,1,"@GovPierluisi Luma pendejo que se ha tenido como gobernador de #PuertoRico , si usted mismo #PierLuma x #MMB"
"@DavidPramo2 Oye escoria, ya fuiste a visitar a tus hijos los narcomenudistas.

Muy bravucon en tuiter pero en la vida real aparte de idiota, desobligado, sin duda eres doble pendejo, en la vida real y en la vida digital.",1,1,"@DavidPramo2 Oye escoria, ya fuiste a visitar a tus hijos los narcomenudistas.

Muy bravucon en tuiter pero en la vida real aparte de idiota, desobligado, sin duda eres doble pendejo, en la vida real y en la vida digital."
@JuanPappierHRW @glabrador @_elfaro_ @_elcomisionado_ Si sos pendejo va Juan pipián ? O te están pagando? Cuanto por cada tuit? Te compro 10 al precio que te dan zorra vendida,1,1,@JuanPappierHRW @glabrador @_elfaro_ @_elcomisionado_ Si sos pendejo va Juan pipián ? O te están pagando? Cuanto por cada tuit? Te compro 10 al precio que te dan zorra vendida
@ferbelaunzaran Jajaajaj todo pendejo . Con todo y alianza...,1,1,@ferbelaunzaran Jajaajaj todo pendejo . Con todo y alianza...
@andreitav92 @lopezobrador_ pendejo sí? 🤔🙄,1,0,@andreitav92 @lopezobrador_ pendejo sí? 🤔🙄
"Un pendejo del Lastarria acaba de confirmar en Chilevision que buscan un nuevo Estallido Social tras ls victoria del Rechazo. 

Váyanse bien a la conchetumareeeeeeeee",1,1,"Un pendejo del Lastarria acaba de confirmar en Chilevision que buscan un nuevo Estallido Social tras ls victoria del Rechazo. 

Váyanse bien a la conchetumareeeeeeeee"
